1,"(299, 1999, 3)","[S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12]","[S1, S5, S9]","[S7, S10]"
1,"(1001, 2999, 6)","[S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12]","[S1, S5, S9]","[S7, S10]"
1,"(2150, 1111, 9)","[S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12]","[S1, S5, S9]","[S7, S10]"
2,"(296, 1997, 1)","[S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12]","[S1, S5, S9]","[S7, S10]"
2,"(296, 1997, 8)","[S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12]","[S1, S5, S9]","[S7, S10]"
2,"(2593, 2297, 3)","[S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12]","[S1, S5, S9]","[S7, S10]"
3,"(793, 1993, 7)","[S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12]","[S1, S5, S9]","[S7, S10]"
3,"(1998, 2998, 19)","[S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12]","[S1, S5, S9]","[S7, S10]"
4,"(1877, 2855, 5)","[S1, S2, S3, S4, S5, S6, S7, S9, S10, S11, S12]","[S1, S5, S9]","[S7, S10]"
4,"(1333, 2333, 3)","[S1, S2, S3, S4, S5, S6, S7, S9, S10, S11, S12]","[S1, S5, S9]","[S7, S10]"
4,"(5, 98, 2)","[S1, S2, S3, S4, S5, S6, S7, S9, S10, S11, S12]","[S1, S5, S9]","[S7, S10]"
5,"(45, 1355, 5)","[S1, S2, S3, S4, S5, S6, S7, S9, S10, S11, S12]","[S1, S5, S9]","[S7, S10]"
5,"(5, 98, 2)","[S1, S2, S3, S4, S5, S6, S7, S9, S10, S11, S12]","[S1, S5, S9]","[S7, S10]"
6,"(298, 1789, 3)","[S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12]","[S1, S5, S9]","[S7, S10]"
6,"(1061, 2476, 6)","[S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12]","[S1, S5, S9]","[S7, S10]"
6,"(2850, 1234, 9)","[S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12]","[S1, S5, S9]","[S7, S10]"
